Number,Type,Skin,NumberTraits,Traits,Rarity,HiddenTraits,Owner
1491,Female,Mid-skinned,3,"['Blue Eye Shadow', 'Clown Hair Green', 'Earring']",2483,,0x062C54
1492,Male,Light-skinned,3,"['Big Beard', 'Police Cap', 'VR']",1762,,0x7760E0
1493,Female,Dark-skinned,5,"['Blonde Bob', 'Cigarette', 'Hot Lipstick', 'Mole', 'Regular Shades']",1896,,0x577eBC
1494,Female,Mid-skinned,3,"['Black Lipstick', 'Eye Patch', 'Wild White Hair']",1288,,0x729FcB
1495,Female,Light-skinned,2,"['Dark Hair', 'Hot Lipstick']",3105,,0x36864B
1496,Female,Mid-skinned,2,"['Blonde Short', 'Welding Goggles']",402,,0x26f744
1497,Male,Mid-skinned,3,"['Earring', 'Knitted Cap', 'Shadow Beard']",8869,,0x00B278
1498,Female,Dark-skinned,3,"['Big Shades', 'Crazy Hair', 'Earring']",8756,,0x577eBC
1499,Male,Light-skinned,2,"['Crazy Hair', 'Spots']",951,,0x577eBC
1500,Female,Light-skinned,2,"['Hot Lipstick', 'Mohawk Thin']",9306,,0x51688C
1501,Male,Mid-skinned,2,"['Police Cap', 'Shadow Beard']",4050,,0x0601D0
1502,Male,Light-skinned,2,"['Eye Mask', 'Shaved Head']",7092,,0xf75fcD
1503,Male,Dark-skinned,3,"['Headband', 'Horned Rim Glasses', 'Shadow Beard']",8625,,0x00B278
1504,Female,Mid-skinned,4,"['Black Lipstick', 'Earring', 'Frumpy Hair', 'Green Eye Shadow']",5789,['Hidden Earring'],0xc8751a
1505,Male,Dark-skinned,3,"['Cigarette', 'Knitted Cap', 'VR']",7945,,0x7a341c
1506,Male,Dark-skinned,3,"['Handlebars', 'Medical Mask', 'Peak Spike']",3501,['Hidden Handlebars'],0xf54a74
1507,Male,Dark-skinned,3,"['Cowboy Hat', 'Earring', 'Smile']",1354,,0xE97AfE
1508,Female,Light-skinned,4,"['Black Lipstick', 'Choker', 'Horned Rim Glasses', 'Mohawk Dark']",133,,0x0eb9a7
